s,t,pr_s1,q1,q2,q3
1.0,1.0,0.22739363188837255,0.6821808956651176,0.3178191043348823,0.0
6.0,1.0,0.3764913814239738,0.0,0.811655039937039,0.18834496006296098
26.0,1.0,0.39611498668765366,0.0,0.0,1.0
1.0,3.0,0.1059760848087858,0.3179282544263574,0.5432433872281472,0.1388283583454952
6.0,3.0,0.3592130143377273,0.0,0.5343956557850348,0.4656043442149652
26.0,3.0,0.5348109008534868,0.0,0.0,1.0
1.0,5.0,0.04943326288608175,0.14829978865824525,0.5228258265195502,0.32887438482220444
6.0,5.0,0.2914990338592514,0.0,0.35167127505820406,0.6483287249417959
26.0,5.0,0.6590677032546668,0.0,0.0,1.0
1.0,10.0,0.007353614446541746,0.022060843339625238,0.2794702212648046,0.69846893539557
6.0,10.0,0.13429425405225026,0.0,0.12341254089194618,0.8765874591080538
26.0,10.0,0.8583521315012081,0.0,0.0,1.0
1.0,30.0,3.605156106533819e-6,1.0815468319601456e-5,0.007648512875394283,0.9923406716562859
6.0,30.0,0.003171580872435796,0.0,0.0018662297419131068,0.998133770258087
26.0,30.0,0.9968248139714578,0.0,0.0,1.0000000000000002
1.0,100.0,9.406815850047922e-18,2.8220447550143764e-17,2.5304520087637807e-8,0.9999999746954797
6.0,100.0,8.699086402093298e-9,0.0,7.927391186420859e-10,0.999999999207261
26.0,100.0,0.9999999913009137,0.0,0.0,1.0000000000000002
